ticker;score_sector;score_general;score_final;sector;p_l;p_vp;dividend_yield;crescimento_lucro;roe;payout_ratio;number_code;outlier
MOVI3;0,717818526472146;0,686274552763347;0,6988921422468666;Industrials;6,1417804;0,5735057;3,74;;-14,738000000000001;;3;False
SIMH3;0,7149922595517892;0,6841907561138167;0,6965113574890057;Industrials;6,1756396;1,0961039;;;-4,9110000000000005;;3;False
SEER3;0,714819613539146;0,6795923002916202;0,6936832255906304;Consumer Defensive;6,250359;0,56065136;;;2,856;;3;False
FESA4;0,6531554524508794;0,7156610077306373;0,6906587856187342;Basic Materials;5,6642857;0,80393344;6,7;39,0;7,733;0,8028;4;False
ITSA4;0,7068893461476488;0,6782165065900487;0,6896856424130887;Industrials;6,272714;1,240281;1,2;-7,9;16,341;0,3202;4;False
QUAL3;0,8094171844455137;0,6062099690497805;0,6874928552080738;Healthcare;7,442734;0,43979505;;;-0,8090001;;3;False
LEVE3;0,6869543813272048;0,6869543813272048;0,6869543813272048;Consumer Cyclical;6,130734;3,4506354;8,979999;-37,6;43,595;1,8513;3;False
TECN3;0,6862082955726017;0,6862082955726017;0,6862082955726017;Consumer Cyclical;6,142857;0,8756266;4,3899998;9,1;16,307;0,1714;3;False
POMO4;0,6919103117674779;0,6671725172804119;0,6770676350752383;Industrials;6,4521656;2,4154024;6,52;107,3;32,061002;0,5105;4;False
PRIO3;0,6308159433973736;0,7042623030482542;0,674883759187902;Energy;5,849501;1,7941661;0,18000001;-45,2;31,524;0,0125;3;False
BLAU3;0,7811455597259668;0,5899648948897305;0,666437160824225;Healthcare;7,706697;1,0785393;2,75;-30,4;9,0500005;0,33150002;3;False
CAML3;0,6718066493528512;0,6484396043858591;0,6577864223726559;Consumer Defensive;6,756553;0,49607778;6,52;;10,564999;0,2967;3;False
TEND3;0,5385307547776064;0,7276480265400975;0,6520011178351011;Real Estate;5,469511;2,12622;1,06;;6,276;;3;False
GGBR4;0,595864974263965;0,67666474299669;0,6443448355036;Basic Materials;6,2979283;0,6549774;4,46;-14,099999999999998;9,149000000000001;0,3838;4;False
CSMG3;0,6495074828756536;0,6332877184844097;0,6397756242409072;Utilities;7,002753;1,1795044;7,739999999999999;-15,8;17,772;1,0648;3;False
