ticker;score_sector;score_general;score_final;business_segment;activity_subsector;sector;company_name;crescimento_lucro;crescimento_receita;dividend_yield;Dív. líquida/EBIT;div_liq_ebitda;Dív. líquida/PL;EV/EBIT;EV/EBITDA;Giro ativos;lpa;liq_corrent;M. Bruta;M. EBIT;M. EBITDA;m_liquida;passivos_ativos;P/Ativo Circ. Liq.;P/Cap. Giro;P/EBIT;P/EBITDA;p_l;P/SR;p_vp;PEG Ratio;PL/Ativos;Passivos/Ativos;ROA;roe;ROIC;VPA;number_code;outlier
ESPA3;0,42244582477852677;0,4083458218434884;0,41469082316425565;Produtos de Uso Pessoal;Produtos de Uso Pessoal e de Limpeza;Consumo não Cíclico;MPM CORPÓREOS S.A.;0,0;24,51;0,0;4,86;2,79;0,79;6,74;3,87;0,47;-0,06;1,58;35,46;13,44;23,45;-2,04;0,12;-0,21;0,75;1,88;1,08;-12,4;0,25;0,3;-3,04;0,39;0,61;-0,96;-2,46;6,25;2,37;3;False
CXSE3;0,3599990370238434;0,45941671187874783;0,4146787581940409;Corretoras de Seguros;Previdência e Seguros;Financeiro e Outros;CAIXA SEGURIDADE PARTICIPAÇÕES S.A.;19,64;0,0;8,93;-0,29;0,0;-0,09;10,78;0,0;0,0;1,26;1,74;0,0;0,0;0,0;0,0;3,33;-3,88;55,77;11,07;0,0;12,41;0,0;3,63;2,43;0,92;0,08;26,85;29,21;28,33;4,3;3;False
MBLY3;0,40338631518463297;0,4219286660140054;0,41358460814078785;Produtos Diversos;Comércio;Consumo Cíclico;Mobly S.A.;0,0;11,93;0,0;0,06;0,08;-0,01;-2,04;-2,83;0,86;-0,65;2,45;44,49;-14,09;-10,18;-13,87;0,26;-0,5;0,9;-2,1;-2,91;-2,14;0,3;0,41;1,84;0,62;0,38;-12,0;-19,37;-18,93;3,36;3;False
HBOR3;0,39352299576664473;0,42962044212832323;0,4133765912655679;Incorporações;Construção Civil;Consumo Cíclico;HELBOR;0,0;15,03;5,62;7,45;6,58;1,24;8,36;7,38;0,2;0,4;1,97;32,45;18,16;20,56;4,07;0,03;-0,08;0,12;0,91;0,8;4,06;0,17;0,15;0,13;0,22;0,6;0,83;3,73;5,03;10,68;3;False
WEST3;0,40014139673656957;0,42118145215810004;0,4117134272184113;Produtos Diversos;Comércio;Consumo Cíclico;WESTWING COMERCIO VAREJISTA S.A.;0,0;10,76;0,0;2,07;0,0;-0,49;1,0;0,0;0,58;-3,61;2,94;39,1;-29,99;0,0;-21,92;0,19;-0,45;0,48;-1,07;0,0;-1,47;0,32;0,25;0,04;0,73;0,27;-12,68;-17,29;-23,2;20,89;3;False
ENGI4;0,36221359274657416;0,4512991857502291;0,4112106688985844;Energia Elétrica;Energia Elétrica;Utilidade Pública;ENERGISA;16,62;12,56;0,0;3,84;3,0;1,5;6,84;5,34;0,44;1,08;1,18;26,72;19,73;25,26;7,69;0,23;-0,3;5,74;2,61;2,04;6,71;0,52;1,02;0,14;0,22;0,72;3,36;15,26;9,92;7,09;4;False
PETZ3;0,39625934065849305;0,4231431679725056;0,4110454456812;Produtos Diversos;Comércio;Consumo Cíclico;PETZ;-29,48;32,81;6,91;-0,37;-0,14;-0,02;18,81;6,85;0,82;0,01;1,65;46,69;3,11;8,54;0,17;0,49;-0,77;3,41;19,19;6,98;361,64;0,6;1,15;-4,35;0,43;0,57;0,14;0,32;3,81;3,67;3;False
ASAI3;0,40693434509757087;0,4131623564119859;0,4103597513204992;Alimentos;Comércio e Distribuição;Consumo não Cíclico;SENDAS DISTRIBUIDORA S.A.;0,0;0,0;1,33;3,41;2,4;2,52;5,96;4,2;1,64;0,47;0,86;16,48;5,12;7,26;0,88;0,21;-0,33;-3,83;2,55;1,8;14,78;0,13;1,88;-0,66;0,11;0,89;1,45;12,73;16,71;3,69;3;False
SUZB3;0,4340118613362908;0,3880414377763464;0,4087281283783214;Papel e Celulose;Madeira e Papel;Materiais Básicos;SUZANO S.A.;0,0;12,75;3,54;5,06;3,19;2,45;9,66;6,08;0,29;-5,6;1,72;42,19;33,1;52,59;-14,92;0,43;-0,58;4,07;4,6;2,89;-10,2;1,52;2,23;0,07;0,2;0,8;-4,26;-21,82;7,19;25,64;3;False
EQTL3;0,344113447053029;0,46155201043668415;0,40870465691403934;Energia Elétrica;Energia Elétrica;Utilidade Pública;EQUATORIAL ENERGIA;19,34;29,5;1,75;5,03;4,02;1,61;9,71;7,75;0,39;1,78;1,47;29,6;18,72;23,45;5,05;0,34;-0,45;4,46;4,68;3,74;17,34;0,88;1,5;0,89;0,23;0,73;1,98;8,65;9,43;20,55;3;False
